Champion,Skin_Count,2_Threads_Total_Time,2_Threads_Avg_Skin_Time,2_Threads_Efficiency,3_Threads_Total_Time,3_Threads_Avg_Skin_Time,3_Threads_Efficiency,Speedup_2_to_3,Efficiency_Change,Performance_Degradation
Aatrox,12,9.89,0.709,86.1%,11.56,1.743,181.0%,0.86x,+94.9%,+145.7%
Ahri,20,15.36,0.746,97.1%,13.26,0.714,107.7%,1.16x,+10.6%,-4.2%
Akali,21,15.78,0.729,97.0%,13.44,0.737,115.2%,1.17x,+18.2%,+1.2%
Akshan,3,3.10,0.677,65.6%,2.18,0.555,76.3%,1.42x,+10.8%,-18.1%
Alistar,15,10.58,0.611,86.6%,7.84,0.599,114.5%,1.35x,+28.0%,-1.9%
Ambessa,1,1.51,0.740,49.0%,1.24,0.511,41.2%,1.22x,-7.8%,-30.9%
Amumu,14,11.41,0.625,76.7%,7.78,0.582,104.8%,1.47x,+28.1%,-6.8%
Anivia,12,23.64,3.035,154.0%,19.45,3.286,202.8%,1.22x,+48.8%,+8.3%
Annie,17,11.46,0.648,96.1%,9.32,0.625,114.0%,1.23x,+17.9%,-3.5%
Aphelios,6,5.97,0.659,66.3%,4.61,0.611,79.6%,1.30x,+13.3%,-7.3%
Ashe,19,14.53,0.699,91.4%,11.83,0.650,104.4%,1.23x,+13.0%,-7.0%
Aurelion Sol,5,5.46,0.708,64.8%,4.07,0.630,77.4%,1.34x,+12.6%,-11.1%
Aurora,2,1.97,0.630,63.9%,1.91,0.538,56.4%,1.03x,-7.5%,-14.7%
Azir,7,13.81,2.631,133.3%,10.35,2.713,183.4%,1.33x,+50.1%,+3.1%
Bard,9,6.75,0.656,87.4%,5.64,0.625,99.8%,1.20x,+12.3%,-4.7%
Bel'Veth,3,3.18,0.638,60.2%,2.43,0.575,70.9%,1.31x,+10.7%,-9.9%
Blitzcrank,16,10.51,0.604,91.9%,8.59,0.600,111.9%,1.22x,+19.9%,-0.6%
Brand,12,8.28,0.610,88.4%,6.99,0.599,102.9%,1.18x,+14.5%,-1.7%
Braum,8,6.25,0.651,83.3%,4.80,0.596,99.3%,1.30x,+16.0%,-8.5%
Briar,2,2.03,0.716,70.6%,1.84,0.559,60.9%,1.10x,-9.7%,-21.9%
Caitlyn,20,14.93,0.659,88.2%,11.31,0.639,113.0%,1.32x,+24.8%,-2.9%
Camille,7,5.74,0.621,75.7%,4.28,0.555,90.6%,1.34x,+15.0%,-10.7%
Cassiopeia,9,6.65,0.607,82.1%,4.90,0.579,106.2%,1.36x,+24.1%,-4.7%
Cho'Gath,10,7.01,0.586,83.6%,5.48,0.570,104.1%,1.28x,+20.5%,-2.7%
Corki,11,7.82,0.566,79.6%,5.70,0.570,110.0%,1.37x,+30.4%,+0.7%
Darius,15,11.16,0.661,88.8%,8.55,0.622,109.2%,1.31x,+20.4%,-5.8%
Diana,14,10.87,0.691,89.0%,8.45,0.651,107.8%,1.29x,+18.8%,-5.8%
Dr. Mundo,11,7.49,0.623,91.5%,5.31,0.593,122.8%,1.41x,+31.3%,-4.9%
Draven,13,9.11,0.635,90.6%,7.37,0.602,106.2%,1.24x,+15.6%,-5.1%
Ekko,12,9.50,0.678,85.6%,7.01,0.637,109.0%,1.36x,+23.4%,-6.1%
Elise,9,20.27,3.333,148.0%,15.40,3.599,210.3%,1.32x,+62.3%,+8.0%
Evelynn,16,12.57,0.770,98.0%,10.22,0.732,114.6%,1.23x,+16.5%,-5.0%
Ezreal,21,16.19,0.787,102.1%,12.80,0.753,123.6%,1.26x,+21.5%,-4.2%
Fiddlesticks,11,9.49,0.717,83.1%,7.19,0.688,105.3%,1.32x,+22.2%,-4.1%
Fiora,16,13.76,0.759,88.3%,10.96,0.728,106.4%,1.26x,+18.1%,-4.0%
Fizz,14,25.30,2.665,147.4%,18.41,2.745,208.8%,1.37x,+61.3%,+3.0%
Galio,9,6.98,0.683,88.1%,5.70,0.663,104.6%,1.22x,+16.5%,-3.0%
Gangplank,12,9.03,0.682,90.6%,7.36,0.696,113.5%,1.23x,+22.9%,+2.1%
Garen,17,13.29,0.725,92.7%,10.17,0.700,116.9%,1.31x,+24.2%,-3.5%
Gnar,10,7.89,0.764,96.8%,6.06,0.712,117.5%,1.30x,+20.7%,-6.8%
Gragas,14,10.74,0.697,90.9%,8.09,0.702,121.5%,1.33x,+30.6%,+0.7%
Graves,13,10.60,0.674,82.7%,8.43,0.666,102.7%,1.26x,+20.0%,-1.2%
Gwen,4,4.31,0.772,71.6%,3.41,0.671,78.7%,1.26x,+7.1%,-13.1%
Hecarim,12,9.48,0.719,90.9%,7.70,0.691,107.7%,1.23x,+16.8%,-3.8%
Heimerdinger,9,7.06,0.707,90.1%,5.74,0.683,107.1%,1.23x,+16.9%,-3.4%
Hwei,2,2.23,0.733,65.8%,2.09,0.628,60.1%,1.07x,-5.6%,-14.4%
Illaoi,5,5.40,0.722,66.8%,4.06,0.664,81.8%,1.33x,+15.1%,-8.0%
Irelia,15,12.23,0.783,96.1%,10.59,0.760,107.7%,1.16x,+11.7%,-2.9%
Ivern,5,4.81,0.717,74.6%,3.94,0.680,86.2%,1.22x,+11.7%,-5.2%
Janna,16,12.65,0.735,93.0%,9.78,0.740,121.0%,1.29x,+28.0%,+0.7%
